symbol,direction,freshness,breakout_score,direction_confidence,deep_selection_tier,confirmation_available,confirmation_score,confirmation_label,price_return_1d,price_return_5d,realized_vol_20d_ann,normalized_5d_shock,distance_to_20d_high,distance_to_20d_low,distance_to_63d_high,distance_to_63d_low,follow_through_3d,confirmation_data_mode,confirmed_breakout_score,confirmed_breakout_rank
ESI,DOWN,CONTINUING,91.80810255390618,81.13156149430358,not_selected,True,73.47936305060347,CONFIRMED,-0.01768931410309804,-0.08895148821604659,0.3931843240774965,-1.6060989278133717,-0.09382968359606303,0.02155791837491039,-0.2760236136676041,0.02155791837491039,1.0,close_based,84.17417249099485,49.0
RCUS,DOWN,CONTINUING,88.73876049512445,71.14347203185399,not_selected,True,85.10301187846775,CONFIRMED,-0.019614580361305367,-0.04106359309826102,0.3429442804893438,-0.8500581818250197,-0.09756097413618314,0.0,-0.09756097413618314,0.28797462433123155,1.0,close_based,84.12897821747336,50.0
TRMED.OL,DOWN,NEW,84.04385978518624,66.41192377104164,not_selected,True,95.16327046836105,CONFIRMED,-0.1032906036662764,-0.18386022911667543,0.8608157085870112,-1.5163270468361056,-0.2972779088245001,0.0,-0.2972779088245001,0.23863640468639402,1.0,close_based,83.85329578730978,51.0
UEIC,UP,NEW,90.10909338775214,69.0943841871252,core,True,82.82945329704813,CONFIRMED,0.01181101253556105,0.10300429931130806,0.41720328940952484,1.7527617874454628,0.0,0.19534875313742206,-0.0803414575506779,0.3518980337559352,0.6666666666666666,close_based,83.72225952041555,52.0
FLK.L,DOWN,NEW,88.49200811201206,65.48840399647473,core,True,87.71929824561401,CONFIRMED,-0.02631578947368418,-0.10843373493975916,0.3065608465192282,-2.511094163655456,-0.12941176470588234,0.0,-0.24887217132782546,0.1384615384615384,0.6666666666666666,close_based,83.65947432898518,53.0
GRK.HE,UP,CONTINUING,90.90817351820002,70.41567496687065,adaptive,True,79.88326295374009,CONFIRMED,0.01033057818671046,0.04935629028046207,0.23630359101142362,1.4828166589288359,0.0,0.1726618856405009,0.0,0.40678952494615683,0.6666666666666666,close_based,83.50220063859616,54.0
AMAT,DOWN,CONTINUING,94.7437542692458,87.52003680249028,not_selected,True,61.95633292550916,PARTIAL,0.005419325356458282,-0.027911582479228425,0.46426086039247266,-0.4268130171819878,-0.11908099798724758,0.005419325356458282,-0.3321220294568257,0.10637136219222909,0.6666666666666666,close_based,83.46278437277371,55.0
NSLR,DOWN,CONTINUING,97.21011306783032,82.49607101412612,core,True,61.14750582559589,PARTIAL,0.0063211367508713145,-0.19187820001289635,0.6670919513546616,-2.0419974864490467,-0.226433423940117,0.012722633961057772,-0.3974261911309155,0.012722633961057772,0.3333333333333333,close_based,83.44852248441916,56.0
NNBR,DOWN,CONTINUING,85.33760167659997,64.79385263894041,adaptive,True,92.73135968138119,CONFIRMED,-0.009118532443044058,-0.11413045344427053,0.4532014558839465,-1.7878270940873868,-0.1443569450331903,0.0,-0.20681268015539556,0.2395436686725252,1.0,close_based,83.44697927050242,57.0
CRWD,UP,CONTINUING,91.89765432267312,82.92130555117143,adaptive,True,69.58670948984006,PARTIAL,-0.004660006009378992,0.16150142957521907,1.0322226824121008,1.110754908294318,-0.004660006009378992,0.3019742920113022,-0.004660006009378992,0.43448927880900645,0.6666666666666666,close_based,83.40910111852287,58.0
SFL,UP,CONTINUING,87.39645080136104,68.69797230253027,adaptive,True,86.34764836522358,CONFIRMED,0.018085890191341436,0.07821233174745323,0.24288393194810462,2.2860815415606126,0.0,0.1429988019147741,0.0,0.3480662468192657,0.6666666666666666,close_based,83.34211437075365,59.0
ARR,DOWN,CONTINUING,83.25398129009574,63.57349419621304,core,True,95.9911380739374,CONFIRMED,-0.015946828443624494,-0.06970175052468297,0.14455084519917077,-3.423247645968898,-0.08720121751873655,0.0,-0.11781902731456317,0.0,1.0,close_based,83.1390309064717,60.0
IONS,DOWN,CONTINUING,98.10635077340754,90.92076230966036,not_selected,True,51.962945165658915,UNCONFIRMED,-0.00795227861800274,-0.058046226906139475,0.33491511642743993,-1.2304232062658456,-0.058046226906139475,0.1050009703931194,-0.3063824881493845,0.15665444347384305,1.0,close_based,82.82621139833351,61.0
CLX,DOWN,CONTINUING,82.12951296134523,60.46906136226763,not_selected,True,98.71979428552865,CONFIRMED,-0.04663560061395011,-0.08855088201839167,0.3358204101353575,-1.8719794285528657,-0.09471734083573613,0.0,-0.09471734083573613,0.11624446122085175,1.0,close_based,82.77450703878475,62.0
CYTK,DOWN,CONTINUING,82.52862111649296,60.1364543262188,not_selected,True,97.69217085617724,CONFIRMED,-0.02895296746533238,-0.09733323744630851,0.35375278050005177,-1.9533342945288517,-0.1063390343539029,0.0,-0.1582627188849718,0.09512445627624344,1.0,close_based,82.59925268034341,63.0
EST.L,UP,CONTINUING,86.61429369570544,72.1131244168894,core,True,82.57816633009925,CONFIRMED,0.053191532102200734,0.24999998795865785,1.411035442580945,1.2578166330099265,0.0,1.4146342025066985,0.0,1.5916230819396615,0.6666666666666666,close_based,82.50322163026037,64.0
PGEN,UP,NEW,85.84991947909316,68.27266556526251,adaptive,True,84.92437580538795,CONFIRMED,0.06285715103149414,0.09411762478442398,0.4477030472680559,1.4924375805387955,0.0,0.11377249227727226,0.0,0.5729386949723116,0.6666666666666666,close_based,82.05680559421548,65.0
ORC,DOWN,CONTINUING,82.3595683324281,62.66975129672944,core,True,94.42802301179006,CONFIRMED,-0.006568138070740415,-0.06923073988694406,0.15115423426965355,-3.251576107753717,-0.0941289093351394,0.0,-0.10788820978507152,0.0,1.0,close_based,82.04214132909695,66.0
NVGS,UP,CONTINUING,88.27190959287297,67.83068959309136,adaptive,True,79.94166646741849,CONFIRMED,-0.003256000191278252,0.08028229769294959,0.24490542294204137,2.3272158171905204,-0.003256000191278252,0.1401303674594241,-0.003256000191278252,0.3195768865137072,0.6666666666666666,close_based,81.68459265528031,67.0
ECAT,DOWN,CONTINUING,82.31886592406852,57.58546105470097,not_selected,True,96.38624500544879,CONFIRMED,-0.018317470032692795,-0.05176932830956538,0.14130661031759448,-2.600909972224265,-0.0694533704475161,0.0,-0.07069822570301254,0.0,1.0,close_based,81.59239867460909,68.0
SABR,UP,NEW,87.36785761274011,71.39335757607655,adaptive,True,78.74988761879685,CONFIRMED,0.11004786053539228,0.08411206519388603,0.6824503949138446,0.8749887618796854,0.0,0.1542288279852646,0.0,0.39759034933277615,0.6666666666666666,close_based,81.58756660722442,69.0
EDR.MC,DOWN,CONTINUING,89.76236138796236,70.603552649611,not_selected,True,75.19451548949854,CONFIRMED,-0.009493586841708201,-0.0883494981126971,0.717094554851101,-0.8746673800752358,-0.17631573179531868,0.009677435563663073,-0.1806282450204012,0.057432457467253784,1.0,close_based,81.56024587075295,70.0
AMC,UP,NEW,86.78746533314495,73.16086464828301,adaptive,True,77.78504210049462,CONFIRMED,0.04313730806719662,0.0813008311310306,0.5370106516017567,1.0747992472078838,-0.014814800424667651,0.12711873053819867,-0.066666605319194,0.5465116520840902,1.0,close_based,81.36141822637747,71.0
AGNC,DOWN,CONTINUING,80.7668563241628,61.17356035318532,not_selected,True,95.48067579245073,CONFIRMED,-0.012884054754704333,-0.06741575341340389,0.16034797846811685,-2.984785811271862,-0.09107652836323465,0.0,-0.10911897197829812,0.0,1.0,close_based,81.26234297045369,72.0
TEM,UP,CONTINUING,95.5239845319484,89.2169893958785,adaptive,True,52.00220454891483,UNCONFIRMED,0.016267287892577142,0.1418081366597892,1.1572431165188273,0.8699450323583143,-0.03741919286487372,0.19118146444236617,-0.03741919286487372,0.683995246822853,1.0,close_based,81.20605150982435,73.0
NLY,DOWN,CONTINUING,81.3750783880426,61.49295628639923,not_selected,True,93.78995028148779,CONFIRMED,-0.0027397016889267878,-0.04252517913482634,0.145258681341501,-2.0783530476428,-0.08003368310229697,0.0,-0.08003368310229697,0.01855820168652378,1.0,close_based,81.12311553574747,74.0
LAZ,DOWN,CONTINUING,94.22143862793916,80.91704763045318,not_selected,True,58.696135483164234,PARTIAL,-0.02283626350976886,-0.05352794111815096,0.39042313102935494,-0.9733303540037319,-0.05935371869237649,0.03220176606685854,-0.11504463457336489,0.0792837772241004,1.0,close_based,80.90296948500949,75.0
BAC,DOWN,NEW,82.77035128516344,65.3784081842723,adaptive,True,87.86962063011165,CONFIRMED,-0.02721772378067,-0.07611292137279924,0.2414224685603925,-2.238184961249173,-0.07874917392872938,0.0,-0.10206119393183943,0.035505551072514185,0.6666666666666666,close_based,80.82174346846969,76.0
BRKR,UP,NEW,85.04003724111243,65.34204443406445,adaptive,True,84.0272161500096,CONFIRMED,0.08825108823220296,0.1146426204075579,0.5802162438689613,1.4027216150009598,0.0,0.15210783032174358,-0.057040695956396936,0.20616300376092744,0.6666666666666666,close_based,80.79659235237197,77.0
DSGN,DOWN,CONTINUING,86.6878438764617,65.88762357003377,not_selected,True,80.77700791730982,CONFIRMED,-0.011486491493450712,-0.02661341487936275,0.34170309515808533,-0.5529259335068039,-0.08218315561027645,0.0,-0.08218315561027645,0.36473878265077864,1.0,close_based,80.75454902743054,78.0
AZUL,DOWN,CONTINUING,89.7998146284391,68.44214245458839,core,True,73.01399648115198,CONFIRMED,0.004587188070846571,-0.07854136518810595,0.3856345488400822,-1.4458984054950483,-0.15769230628154696,0.004587188070846571,-0.3316378206863312,0.004587188070846571,0.6666666666666666,close_based,80.49253474948281,79.0
WAY,UP,CONTINUING,87.16852132407078,69.48970222333654,adaptive,True,76.69116172073764,CONFIRMED,-0.0029996221776228404,0.11441741292546026,0.49281739068438873,1.648243482242808,-0.0029996221776228404,0.15307895786637005,-0.0029996221776228404,0.536106353145996,0.6666666666666666,close_based,80.48954962292399,80.0
0RUH.IL,DOWN,CONTINUING,83.54500986309714,58.2649468462529,core,True,89.82277379710713,CONFIRMED,-0.0058333069969098705,-0.04534544390307926,0.20746026809889181,-1.55172226309555,-0.1283487465778862,0.0,-0.25623438271534593,0.0,1.0,close_based,80.37232643993129,81.0
ASML.AS,DOWN,CONTINUING,90.90305305499164,72.87454900217743,core,True,66.4864590890083,PARTIAL,0.01232956150128417,-0.06797537955219524,0.3016783461833916,-1.599641898617932,-0.08050062659543811,0.01232956150128417,-0.18817185711607032,0.02466605407476674,0.6666666666666666,close_based,79.9723740546338,82.0
NEWP,DOWN,NEW,83.8729659609662,60.69005246913283,not_selected,True,85.99612370746172,CONFIRMED,-0.040983607198115,-0.12425148877772996,0.5514448881900528,-1.5996123707461725,-0.21052631240260555,0.0,-0.21052631240260555,0.5558510424123191,0.6666666666666666,close_based,79.87333058654819,83.0
MS,DOWN,NEW,80.33696014033626,58.49767211452735,adaptive,True,93.181352794245,CONFIRMED,-0.018712432776778587,-0.06004182757420051,0.2547955881927659,-1.6729280664781898,-0.07027375971878747,0.0,-0.10945410231687125,0.0019901887148165986,1.0,close_based,79.8224203313471,84.0
HBAN,DOWN,NEW,79.83662996773513,59.40011820039796,adaptive,True,93.33687274052723,CONFIRMED,-0.05552240627915117,-0.04870712608653216,0.25927089464484937,-1.3336872740527241,-0.07862553147763973,0.0,-0.1476293022608145,0.0,1.0,close_based,79.79940044610532,85.0
TLRY,DOWN,CONTINUING,86.34059999084005,69.79067702092792,core,True,75.51212436940995,CONFIRMED,-0.015037579608052964,-0.06650830614077907,0.48814761328466727,-0.9672527768067781,-0.19467213635353642,0.0,-0.19467213635353642,0.01288658526843589,0.6666666666666666,close_based,79.7820727104286,86.0
MONC.MI,DOWN,CONTINUING,80.66835595580892,55.684774775990014,not_selected,True,94.32003597766054,CONFIRMED,-0.03473635055057833,-0.0748139363901863,0.34948700061098464,-1.5197310885897497,-0.08093384676881055,0.0,-0.1558255459018657,0.0,1.0,close_based,79.76714372640063,87.0
