symbol,stage1_history_days,stage1_ret_5d,stage1_ret_20d,stage1_ret_63d,stage1_ret_126d,stage1_pullback_20d,stage1_median_volume_20d,discovery_order,value_seed,adaptive_deep_score,adaptive_momentum_score,adaptive_pullback_score,adaptive_volume_rank,deep_selection_tier,deep_selection_reason,deep_selected,challenger_dynamic_score,challenger_tier,challenger_rank,live_selected
VALE,357,-0.0700514217990452,0.0523636557839133,-0.0698225809012588,-0.0111070528830994,0.0801016727193359,27443150.0,1309,False,57.66126154861385,46.0516796318032,75.725867293704,98.09904952476238,adaptive,adaptive_pullback,True,57.66126154861385,adaptive500,847,True
TKA.VI,360,0.00199207747407,0.00199207747407,0.0763786034769049,0.1407274299816281,0.0233009482207632,24998.5,1486,False,57.59886845401932,67.41028529369747,50.629088206725854,2.8014007003501757,not_selected,,False,57.59886845401932,adaptive500,848,False
PSG.MC,362,0.0562390454206245,0.061837524894944,0.1171003905278516,0.1647287609700272,0.0,130854.0,1713,False,57.562893543804535,74.15621051982868,0.0,13.906953476738368,not_selected,,False,57.562893543804535,adaptive500,849,False
HEIO.AS,362,-0.0174672052627055,-0.0095378064757941,0.0714391462889683,0.0547608048378491,0.0252707581227437,143620.5,1960,False,57.53086733607167,61.87360707652745,57.52411846808283,14.607303651825912,not_selected,,False,57.53086733607167,adaptive500,850,False
ENR,357,-0.0257143293108258,-0.0725125635700822,0.0302344564179826,0.2458241340904101,0.0812753181897677,981850.0,690,False,57.53027695948753,63.05818029149848,62.06767288389656,38.76938469234617,not_selected,,False,57.53027695948753,adaptive500,851,False
DAL,357,-0.0008865209680325,-0.0993263764355091,-0.0592983203727919,0.3033301295021302,0.0794632182158254,5199800.0,1387,False,57.525635693608805,53.82859793043367,55.948004958260384,82.19109554777388,not_selected,,False,57.525635693608805,adaptive500,852,False
MMM,357,-0.0170129299834559,-0.0822326794779861,0.0452560514904067,0.1086776693942335,0.0859353401544924,2630800.0,1424,False,57.50008362237327,57.719895275125154,56.64498924477456,65.33266633316657,not_selected,,False,57.50008362237327,adaptive500,853,False
AMCR,357,-0.042399663095299,-0.0540290331104125,0.0476783198945416,0.0785105116325219,0.1136024568616561,3221000.0,1211,False,57.46810180649595,58.48457769697717,46.92219034557985,70.38519259629815,not_selected,,False,57.46810180649595,adaptive500,854,False
DECB.BR,362,0.0165631314637104,0.0886917069246902,0.0536480704261901,0.2754103629872697,0.0,92010.0,1499,False,57.43081367927488,74.71775931907122,0.0,10.705352676338167,not_selected,,False,57.43081367927488,adaptive500,855,False
CVNA,357,-0.1046573817862503,-0.0455128403293582,-0.0290275755545346,0.0932444563024728,0.1170647421164849,6085650.0,1108,False,57.398463501770166,51.644008958409785,61.57896916598549,85.49274637318659,not_selected,,False,57.398463501770166,adaptive500,856,False
ARCC,357,0.0076772506528273,0.0107557264611553,0.0661246665952099,0.1348172339602427,0.0108996753793815,3793750.0,1138,False,57.29516857974694,66.89440848723889,0.0,75.1375687843922,not_selected,,False,57.29516857974694,adaptive500,857,False
CPR.MI,359,0.0319001406454646,0.0119007432887723,0.099372017620956,-0.0103389057811007,0.013916440841815,3813212.5,1889,False,57.28266573445637,60.99518009260945,0.0,75.38769384692347,not_selected,,False,57.28266573445637,adaptive500,858,False
VOE.VI,360,-0.0216262967928412,-0.0004418171411396,-0.0070463950680006,0.1723422061561188,0.0316780715660703,182801.5,1465,False,57.245159384948224,60.88293069978121,62.70361896262226,16.95847923961981,not_selected,,False,57.245159384948224,adaptive500,859,False
